#,Rank FMCK Skövde,Rank Töreboda MK,Rank Tidaholms MK,Rank Falköpings MK,Rank Carlsborgs MK,Rank Tibro MK,Namn,Klubb,Klass,Predicted_Rank,Rank
21.0,23.0,115.4,168.4,69.8,125.8,113.2,Mattias Jonsson,Vimmerby MS,Motion 40-49,102.60000000000005,134
101.0,129.0,110.0,151.0,42.4,96.0,88.6,Stefan Johansson,Falköpings MK,Motion 40-49,102.83333333333337,135
408.0,151.8,58.0,257.8,37.0,67.0,47.2,Fredric Randström,Hagfors MS,Motion 40-49,103.13333333333338,136
277.0,101.8,94.0,92.0,147.4,105.0,82.2,Max Karlsson,Stenungsunds MS,Ungdom E1,103.73333333333336,137
1227.0,116.0,101.0,133.0,60.0,91.0,126.2,Niklas Strömberg,Götene MK,Motion 40-49,104.53333333333337,138
1215.0,197.8,59.0,138.4,52.8,68.0,115.0,Stefan Liljedahl,Tibro MK,Motion 40-49,105.16666666666667,139
1232.0,81.0,143.2,87.0,75.2,94.8,151.6,Olle Häger,Örebro EK,Junior,105.4666666666667,140
513.0,90.0,91.0,74.0,240.4,82.0,62.0,Emil Kårlin,Lilla Edets MCK,Motion 40-49,106.5666666666667,141
1245.0,107.0,90.0,120.0,76.0,115.0,137.0,Jonas Nilsson,Helsingborgs MCK,Motion 50-59,107.50000000000003,142
250.0,89.0,138.0,154.0,50.6,112.0,102.2,Roger Wallgren,FMCK Skövde,Motion 50-59,107.63333333333338,143
964.0,158.0,128.0,114.0,55.0,120.0,74.0,Pelle Persson,Falköpings MK,Motion 50-59,108.1666666666667,144
1520.0,153.0,99.0,122.0,68.0,92.0,118.0,Edvin Wiberg,Solshesters MCK,Junior,108.66666666666667,145
1292.0,88.2,103.0,191.4,49.0,74.0,147.8,Lee Fryer,Helsingborgs MCK,Motion 40-49,108.90000000000003,146
1503.0,160.0,89.0,124.0,62.0,81.0,138.0,Lukas Jälmestedt,Målilla MK Motocrossklubb,Motion 30-39,109.00000000000001,147
30.0,75.0,134.0,161.0,110.0,59.0,116.6,Magnus Lundén,Wäxjö MS,Motion 50-59,109.2666666666667,148
28.0,188.6,2.0,185.2,66.6,109.4,104.2,Elis Wahlman,SMK Kolmården,Ungdom E1,109.33333333333334,149
108.0,98.8,163.6,107.0,38.6,132.8,115.4,Tobias Carlsson,Norrahammars MK,Senior,109.3666666666667,150
145.0,115.0,133.0,130.0,72.0,118.2,90.0,Daniel Blomqvist,FMCK Skövde,Motion 40-49,109.70000000000002,151
223.0,134.4,125.0,124.0,58.0,130.8,92.0,Jens Andersson,Töreboda MK,Motion 50-59,110.70000000000005,152
173.0,60.0,98.8,168.0,21.0,185.8,131.2,Jonas Gustafsson,Götene MK,Motion 40-49,110.80000000000004,153
91.0,112.8,128.6,114.2,96.0,68.4,148.6,Magnus Persson,Götene MK,Motion 50-59,111.43333333333337,154
10.0,181.0,84.2,148.0,95.2,97.0,63.4,Emelie Nilsson,Ma Lerum,Dam,111.4666666666667,155
1263.0,146.0,106.0,132.0,51.0,104.0,132.0,Mats Andersson,Kullings MS,Motion 60-,111.83333333333336,156
1237.0,110.0,107.0,131.0,61.8,128.0,135.8,emelie johansson,Götene MK,Dam,112.2666666666667,157
1296.0,167.4,66.2,187.0,77.2,48.0,127.8,Anders Olsson,Götene MK,Motion 50-59,112.26666666666671,158
976.0,149.0,110.0,157.0,59.2,116.0,83.0,Max Linder,FMCK Skövde,Ungdom E0,112.3666666666667,159
215.0,71.0,161.8,113.4,62.0,170.0,99.0,Simon Andersson,Team Värmland MK,Motion 30-39,112.8666666666667,160
794.0,91.0,88.0,45.0,314.2,71.0,75.0,Alicia Isaksson,Falköpings MK,Ungdom E0,114.03333333333335,161
536.0,111.0,82.0,105.0,239.6,78.0,69.0,Hugo Andersson,Tibro MK,Ungdom E1,114.10000000000002,162
1465.0,201.2,211.6,176.4,14.0,27.0,55.0,Alexander Fält,Försvarsmaktens EK,Motion 30-39,114.20000000000002,163
994.0,100.0,143.0,119.0,59.2,191.4,85.0,Victoria Wester,FMCK Skövde,Motion Dam,116.26666666666671,164
103.0,151.0,137.0,163.0,55.0,135.0,57.0,William Brehag Von Haugwitz,Carlsborgs MK,Ungdom E1,116.33333333333336,165
332.0,101.0,170.0,149.0,64.0,138.4,76.0,Carl Christoffer Bruenech,Flittig,Motion 50-59,116.40000000000005,166
34.0,133.6,89.2,101.0,127.2,39.0,209.0,Anders Roth,Kristdala Motorsällskap,Motion 50-59,116.50000000000003,167
164.0,90.8,174.0,108.0,83.0,134.0,116.8,Karsten Hyllestad,Sotenäs,Senior,117.76666666666671,168
1267.0,83.0,92.0,239.0,65.0,87.0,145.4,Torbjörn Andersson,MSK Skinnskatteberg,Motion 60+,118.5666666666667,169
116.0,139.0,142.2,158.0,44.6,150.4,79.6,Jonas Milefors,Kortedala MK,Motion 40-49,118.96666666666668,170
186.0,46.6,245.0,134.8,58.4,112.2,120.4,Erik Isaksson,Tranås MS,Motion -39,119.56666666666672,171
314.0,122.0,57.0,158.6,189.0,107.6,85.6,Mikael Andersson,MK Pionjär,Motion 60-,119.9666666666667,172
225.0,173.0,140.0,135.0,58.0,130.8,92.0,Mikael Starby,Tranås MS,Motion 50-59,121.4666666666667,173
369.0,158.0,134.2,103.0,164.0,124.0,49.0,Stefan Andersson,SMK Trollhättan,Motion 50-59,122.03333333333336,174
1299.0,74.0,83.8,190.8,80.2,174.4,139.6,Cristoffer Matlak,Alingsås MCK,Motion 40-49,123.80000000000007,175
5.0,116.0,68.2,188.2,91.0,121.0,159.0,Jonas Strand,Uppsala MCK,Motion 50-59,123.90000000000005,176
1373.0,127.0,127.0,91.0,89.2,126.0,184.0,Richard Kling,MK Pionjär,Motion 50-59,124.03333333333336,177
1239.0,99.0,143.0,147.8,85.2,110.2,160.0,Roger Wallgren,FMCK Skövde,Motion 50-59,124.20000000000005,178
577.0,41.0,311.0,48.0,232.2,59.0,63.0,Marcus Adielsson,Tibro MK,Senior,125.70000000000003,179
1287.0,126.8,70.0,200.8,97.6,125.6,133.6,Marcus Ljung,SMK Trollhättan,Motion 50-59,125.73333333333338,180
204.0,156.4,147.0,127.0,60.4,168.8,106.0,Rikard Andersson,SMK Värnamo,Bredd,127.60000000000002,181
285.0,139.6,180.2,172.6,138.6,100.0,35.0,Patrick Wik,Skene MS,Motion 40-49,127.66666666666669,182
205.0,155.4,149.8,152.0,60.4,127.8,121.8,Tomas Aronsson,Töreboda MK,Motion 50-59,127.86666666666669,183
29.0,38.0,178.2,176.2,86.6,133.2,156.8,Wilmer Jansson,Tidaholms MK,Ungdom E1,128.1666666666667,184
92.0,138.0,119.0,108.0,84.0,132.0,201.0,Oliver Önnefors,FMCK Skövde,Junior,130.33333333333337,185
524.0,109.0,124.6,98.0,248.6,113.0,92.0,Olof Backman,Karlskoga EK,Ungdom E1,130.8666666666667,186
246.0,134.4,161.0,182.0,85.4,137.0,86.4,Rickard Forsberg,Mariestads EK,Motion -39,131.03333333333336,187
265.0,82.0,161.0,187.4,110.8,134.8,114.8,Eddie Hallblom,Ludvika MS,Motion 30-39,131.80000000000004,188
13.0,180.4,148.4,209.8,66.2,22.0,170.4,Oliver Franic,Norrahammars MK,Motion 16-29,132.8666666666667,189
