Plats,År,Plac,Klass,#,Namn,Klubb,Varv,Tid,Varv 1,Varv 2,Varv 3,Varv 4,Varv 5,Varv 6,Varv 7,Varv 8,Varv 9,Varv 10,Varv 11,Varv 1_Datetime,Varv 2_Datetime,Varv 3_Datetime,Varv 4_Datetime,Varv 5_Datetime,Varv 6_Datetime,Varv 7_Datetime,Varv 8_Datetime,Varv 9_Datetime,Varv 10_Datetime,Varv 11_Datetime
Töreboda MK,2023.0,86.0,Motion 40-49,961.0,Daniel Lundqvist,Töreboda MK,4.0,15:13.4,18:19.1,18:56.1,19:13.7,18:44.4,,,,,,,,1900-01-01 00:18:19.100,1900-01-01 00:18:56.100,1900-01-01 00:19:13.700,1900-01-01 00:18:44.400,,,,,,,
Töreboda MK,2023.0,87.0,Motion -39,565.0,Erik Wallskog,Töreboda MK,4.0,15:14.5,18:25.9,18:12.6,18:46.6,19:49.2,,,,,,,,1900-01-01 00:18:25.900,1900-01-01 00:18:12.600,1900-01-01 00:18:46.600,1900-01-01 00:19:49.200,,,,,,,
Töreboda MK,2023.0,88.0,Motion -39,632.0,Viktor Hultman,Mariestads EK,4.0,15:30.5,18:16.7,18:24.0,19:16.6,19:33.0,,,,,,,,1900-01-01 00:18:16.700,1900-01-01 00:18:24.000,1900-01-01 00:19:16.600,1900-01-01 00:19:33.000,,,,,,,
Töreboda MK,2023.0,89.0,Motion -39,545.0,Grim Fallenius,Götene MK,4.0,15:32.7,18:47.0,18:38.3,18:47.9,19:19.4,,,,,,,,1900-01-01 00:18:47.000,1900-01-01 00:18:38.300,1900-01-01 00:18:47.900,1900-01-01 00:19:19.400,,,,,,,
Töreboda MK,2023.0,90.0,Motion -39,556.0,Tommy Gustafsson,Huskvarna MK,4.0,15:41.9,18:29.9,19:03.9,19:12.2,18:55.7,,,,,,,,1900-01-01 00:18:29.900,1900-01-01 00:19:03.900,1900-01-01 00:19:12.200,1900-01-01 00:18:55.700,,,,,,,
Töreboda MK,2023.0,91.0,Motion -39,569.0,Christoffer Jonasson,SMC,4.0,15:49.4,18:15.2,19:29.9,19:07.6,18:56.5,,,,,,,,1900-01-01 00:18:15.200,1900-01-01 00:19:29.900,1900-01-01 00:19:07.600,1900-01-01 00:18:56.500,,,,,,,
Töreboda MK,2023.0,92.0,Motion -39,585.0,Niklas Kedén,Hjo MK,4.0,15:57.0,18:31.7,18:24.0,19:10.1,19:51.0,,,,,,,,1900-01-01 00:18:31.700,1900-01-01 00:18:24.000,1900-01-01 00:19:10.100,1900-01-01 00:19:51.000,,,,,,,
Töreboda MK,2023.0,93.0,Ungdom E1,186.0,Emil Elmwall,Hallsbergs MK,4.0,16:01.8,18:30.7,20:21.3,18:48.0,18:21.7,,,,,,,,1900-01-01 00:18:30.700,1900-01-01 00:20:21.300,1900-01-01 00:18:48.000,1900-01-01 00:18:21.700,,,,,,,
Töreboda MK,2023.0,94.0,Motion -39,543.0,Axel Gustafsson,Lidköpings MCK,4.0,16:19.2,19:02.5,18:51.4,18:49.0,19:36.2,,,,,,,,1900-01-01 00:19:02.500,1900-01-01 00:18:51.400,1900-01-01 00:18:49.000,1900-01-01 00:19:36.200,,,,,,,
Töreboda MK,2023.0,95.0,Motion -39,541.0,Patric Gustafsson,Huskvarna MK,4.0,16:21.6,18:22.7,19:08.3,19:29.6,19:20.9,,,,,,,,1900-01-01 00:18:22.700,1900-01-01 00:19:08.300,1900-01-01 00:19:29.600,1900-01-01 00:19:20.900,,,,,,,
Töreboda MK,2023.0,96.0,Motion -39,555.0,Dennis Hörberg,Norrahammars MK,4.0,16:22.3,18:45.7,18:51.1,19:16.6,19:28.8,,,,,,,,1900-01-01 00:18:45.700,1900-01-01 00:18:51.100,1900-01-01 00:19:16.600,1900-01-01 00:19:28.800,,,,,,,
Töreboda MK,2023.0,97.0,Motion 40-49,917.0,Tomas Blom,Hallsbergs MK,4.0,16:30.1,18:11.9,18:54.0,19:45.9,19:38.1,,,,,,,,1900-01-01 00:18:11.900,1900-01-01 00:18:54.000,1900-01-01 00:19:45.900,1900-01-01 00:19:38.100,,,,,,,
Töreboda MK,2023.0,98.0,Motion -39,523.0,Rasmus Bengt Olof Malmborg,Björkö EK,4.0,16:30.6,19:14.0,18:53.8,18:59.3,19:23.5,,,,,,,,1900-01-01 00:19:14.000,1900-01-01 00:18:53.800,1900-01-01 00:18:59.300,1900-01-01 00:19:23.500,,,,,,,
Töreboda MK,2023.0,99.0,Motion -39,530.0,Patrik Olsson,Lilla Edets MCK,4.0,16:36.2,17:40.0,21:50.2,18:35.5,18:30.4,,,,,,,,1900-01-01 00:17:40.000,1900-01-01 00:21:50.200,1900-01-01 00:18:35.500,1900-01-01 00:18:30.400,,,,,,,
Töreboda MK,2023.0,100.0,Motion 40-49,913.0,Daniel Blomqvist,FMCK Skövde,4.0,16:46.5,19:06.2,19:12.3,19:26.3,19:01.5,,,,,,,,1900-01-01 00:19:06.200,1900-01-01 00:19:12.300,1900-01-01 00:19:26.300,1900-01-01 00:19:01.500,,,,,,,
Töreboda MK,2023.0,101.0,Motion -39,786.0,Anton Persson,Tibro MK,4.0,17:06.1,18:31.5,19:30.6,19:47.3,19:16.5,,,,,,,,1900-01-01 00:18:31.500,1900-01-01 00:19:30.600,1900-01-01 00:19:47.300,1900-01-01 00:19:16.500,,,,,,,
Töreboda MK,2023.0,102.0,Motion 40-49,920.0,Christoffer Johnsson,Hisingens MK,4.0,17:09.6,18:12.6,18:55.7,19:55.1,20:06.1,,,,,,,,1900-01-01 00:18:12.600,1900-01-01 00:18:55.700,1900-01-01 00:19:55.100,1900-01-01 00:20:06.100,,,,,,,
Töreboda MK,2023.0,103.0,Motion 40-49,981.0,Patrick Wik,Skene MS,4.0,17:09.8,18:51.9,18:47.7,19:39.5,19:50.5,,,,,,,,1900-01-01 00:18:51.900,1900-01-01 00:18:47.700,1900-01-01 00:19:39.500,1900-01-01 00:19:50.500,,,,,,,
Töreboda MK,2023.0,104.0,Motion -39,582.0,Jonathan Lagerqvist,Björkö EK,4.0,17:24.5,18:59.7,19:28.0,19:14.2,19:42.5,,,,,,,,1900-01-01 00:18:59.700,1900-01-01 00:19:28.000,1900-01-01 00:19:14.200,1900-01-01 00:19:42.500,,,,,,,
Töreboda MK,2023.0,105.0,Motion 40-49,932.0,Niklas Utterberg,Norrahammars MK,4.0,17:35.2,19:08.6,19:14.8,19:44.5,19:27.2,,,,,,,,1900-01-01 00:19:08.600,1900-01-01 00:19:14.800,1900-01-01 00:19:44.500,1900-01-01 00:19:27.200,,,,,,,
Töreboda MK,2023.0,106.0,Motion 40-49,1004.0,Rickard Persson,Tibro MK,4.0,17:42.8,19:17.5,19:21.3,19:23.2,19:40.6,,,,,,,,1900-01-01 00:19:17.500,1900-01-01 00:19:21.300,1900-01-01 00:19:23.200,1900-01-01 00:19:40.600,,,,,,,
Töreboda MK,2023.0,107.0,Motion -39,639.0,Melker Jansson,Karlskoga EK,4.0,17:43.1,17:05.1,18:15.3,24:01.2,18:21.3,,,,,,,,1900-01-01 00:17:05.100,1900-01-01 00:18:15.300,1900-01-01 00:24:01.200,1900-01-01 00:18:21.300,,,,,,,
Töreboda MK,2023.0,108.0,Motion -39,667.0,Philip Baumgartner,Götene MK,4.0,17:47.7,18:38.7,19:17.4,20:04.5,19:46.8,,,,,,,,1900-01-01 00:18:38.700,1900-01-01 00:19:17.400,1900-01-01 00:20:04.500,1900-01-01 00:19:46.800,,,,,,,
Töreboda MK,2023.0,109.0,Motion 40-49,904.0,Henrik Lindström,FMCK Borås,4.0,17:48.2,18:34.0,19:53.6,19:50.7,19:29.8,,,,,,,,1900-01-01 00:18:34.000,1900-01-01 00:19:53.600,1900-01-01 00:19:50.700,1900-01-01 00:19:29.800,,,,,,,
Töreboda MK,2023.0,110.0,Motion -39,689.0,Jonatan Svantesson,Kullings MS,4.0,18:00.1,18:44.9,19:58.7,19:36.8,19:39.5,,,,,,,,1900-01-01 00:18:44.900,1900-01-01 00:19:58.700,1900-01-01 00:19:36.800,1900-01-01 00:19:39.500,,,,,,,
Töreboda MK,2023.0,111.0,Motion 40-49,934.0,Fredrik Hassesjö,Ulricehamns MK,4.0,18:00.6,19:02.1,19:38.0,19:49.7,19:30.8,,,,,,,,1900-01-01 00:19:02.100,1900-01-01 00:19:38.000,1900-01-01 00:19:49.700,1900-01-01 00:19:30.800,,,,,,,
Töreboda MK,2023.0,112.0,Motion 40-49,955.0,Henrik Nilsson,Mariestads EK,4.0,18:07.8,19:37.9,19:30.9,19:13.2,19:45.7,,,,,,,,1900-01-01 00:19:37.900,1900-01-01 00:19:30.900,1900-01-01 00:19:13.200,1900-01-01 00:19:45.700,,,,,,,
Töreboda MK,2023.0,113.0,Motion -39,544.0,Anton Isaksson,Götene MK,4.0,18:10.0,19:02.3,19:31.7,20:03.6,19:32.3,,,,,,,,1900-01-01 00:19:02.300,1900-01-01 00:19:31.700,1900-01-01 00:20:03.600,1900-01-01 00:19:32.300,,,,,,,
Töreboda MK,2023.0,114.0,Ungdom E1,198.0,Jacob Stacke,SMK Värnamo,4.0,18:10.5,18:22.5,18:14.9,22:01.6,19:31.4,,,,,,,,1900-01-01 00:18:22.500,1900-01-01 00:18:14.900,1900-01-01 00:22:01.600,1900-01-01 00:19:31.400,,,,,,,
Töreboda MK,2023.0,115.0,Motion 40-49,930.0,Jonas Lyttbacka,Örebro EK,4.0,18:13.2,18:46.0,19:33.6,19:46.7,20:06.9,,,,,,,,1900-01-01 00:18:46.000,1900-01-01 00:19:33.600,1900-01-01 00:19:46.700,1900-01-01 00:20:06.900,,,,,,,
Töreboda MK,2023.0,116.0,Motion -39,559.0,Jesper Herngren,Falköpings MK,4.0,18:27.3,18:27.1,19:21.0,19:24.7,21:14.2,,,,,,,,1900-01-01 00:18:27.100,1900-01-01 00:19:21.000,1900-01-01 00:19:24.700,1900-01-01 00:21:14.200,,,,,,,
