Plac,Klass,#,Namn,Klubb,Varv,Tid,Varv 1,Varv 2,Varv 3,Varv 4,Varv 5
134,Motion 40-49,926,Mark Edvardsson,Alingsås MCK,5,18:51.8,18:13.4,10:20.9,19:48.5,10:34.9,19:53.9
135,Motion 40-49,980,Niclas Sjökvist,FMCK Borås,5,18:52.1,19:50.7,9:44.5,19:46.6,9:48.9,19:41.1
136,Motion -39,586,Johan Lidén,Eda MK,5,18:54.0,18:47.7,8:51.5,18:47.6,11:38.4,20:48.6
137,Motion -39,614,Henrik Stråhle,Ma Lerum,5,19:11.2,18:51.6,9:54.0,19:50.3,10:53.3,19:41.9
138,Motion 40-49,954,Christian Appelgren,Stenungsunds MS,5,19:22.4,18:47.6,10:20.2,18:23.4,12:20.0,19:30.9
139,Motion 40-49,974,Ulric Karlsson,Tidaholms MK,5,19:51.4,18:12.6,10:03.7,19:16.2,12:08.1,20:10.7
140,Motion -39,564,Göran Göransson,Björkö EK,5,20:37.8,20:01.3,9:27.1,21:04.7,10:30.5,19:34.0
141,Motion -39,546,Rikard Sundström,Götene MK,5,21:25.6,16:45.1,9:11.8,18:03.1,18:21.2,19:04.2
142,Ungdom E1,180,Viktor Isaksson,Kils MK,5,21:37.6,18:32.0,9:22.8,22:37.9,11:07.3,19:57.4
143,Motion 40-49,998,Karl Henrik Johan Wass,Götene MK,5,21:48.0,19:52.4,9:49.7,19:32.2,11:15.6,21:18.0
144,Motion 40-49,982,Cristoffer Matlak,Alingsås MCK,5,21:49.0,19:05.6,10:42.3,21:02.5,11:20.6,19:37.8
145,Motion -39,570,Hans-Petter Eikedalen,Flittig Motocross & ATV,5,22:15.5,19:05.5,10:19.6,22:13.9,10:12.0,20:24.3
146,Ungdom E1,199,William Blom,Skene MS,5,24:01.6,20:14.7,11:23.5,20:36.5,10:49.2,20:57.5
147,Motion 40-49,918,Andréas Svensson,Stenungsunds MS,4,47:11.3,15:13.0,7:43.8,15:53.1,8:21.3,
148,Motion -39,556,Tommy Gustafsson,Huskvarna MK,4,48:29.4,17:08.8,8:52.7,18:17.6,4:10.3,
149,Motion -39,711,Andreas Breitfeld,Kungsbacka MA,4,52:34.8,17:13.1,8:38.4,18:07.8,8:35.4,
150,Motion -39,624,Måns Kling,Huskvarna MK,4,53:34.7,16:22.5,9:33.3,17:41.4,9:57.3,
151,Motion -39,652,Filip Johansson,Tidaholms MK,4,55:42.7,16:56.1,8:24.2,20:13.9,10:08.3,
152,Motion -39,502,Johan Svensson,Falköpings MK,4,01:25.6,17:46.8,10:19.1,20:23.7,12:55.8,
153,Ungdom E1,122,Tuva Sahlin Palmstedt,Lidköpings MCK,4,01:46.1,18:58.6,10:20.4,19:07.1,13:20.0,
154,Motion 40-49,914,Emil Kårlin,Lilla Edets MCK,4,04:36.8,20:18.0,10:15.8,20:59.0,13:03.9,
155,Motion 40-49,999,Johan Törnqvist,FMCK Skövde,4,05:11.0,20:21.8,11:38.2,21:27.4,11:43.5,
156,Ungdom E1,124,Sam Aronsson,Töreboda MK,4,06:12.5,20:24.6,10:49.3,21:11.8,13:46.5,
157,Ungdom E1,195,Casper Svahn,Örebro MK,4,06:54.5,18:34.5,10:59.7,23:35.2,13:44.9,
158,Motion -39,508,Maria Thomsen,FMCK Borås,4,08:44.2,22:55.5,10:53.3,21:42.6,13:12.7,
159,Ungdom E1,111,Anton Andersson,Norrahammars MK,4,08:55.9,18:52.8,14:14.9,18:56.3,16:51.8,
160,Motion -39,594,Anton Torgin,Donkelo RK,4,10:45.7,22:31.0,13:42.0,21:27.7,13:04.8,
161,Motion -39,590,Tobias Hagelin,FMCK Borås,4,13:36.7,24:09.8,11:50.2,24:30.9,13:05.6,
162,Ungdom E1,126,Marwin Wik,Skene MS,4,15:24.8,22:40.3,13:07.1,20:34.4,19:02.8,
163,Motion -39,503,Rickard Forsberg,Mariestads EK,4,22:44.8,21:49.0,14:53.1,27:26.0,18:36.6,
164,Motion 40-49,1020,Jonas Gustafsson,Götene MK,3,44:14.1,17:34.0,9:13.6,17:26.5,,
165,Motion -39,511,Oliver Wennerholm,FMCK Borås,3,46:12.9,18:30.0,8:56.8,18:46.0,,
166,Motion 40-49,951,Jonas Eriksson,Mariestads EK,3,51:45.3,19:24.6,9:49.3,22:31.2,,
167,Motion 40-49,902,Andreas Sandberg,FMCK Borås,3,00:08.8,22:16.9,12:35.0,25:16.9,,
