Carlsborgs MK,2023,Plac,Klass,#,Namn,Klubb,Märke/Anmälare,Varvtider,Varv,Tid
,,133,Motion -39,517,Simon Gustafsson,Älvbygdens MK,Husqvarna,22:15.8  23:15.7  23:20.6  ,3,08:52.3
,,134,Ungdom E1,107,Thure Rudklint,Oskarshamns MSK,Sherco / Ostkustmx Racing Team,22:20.6  23:17.2  23:30.2  ,3,09:08.2
,,135,Motion -39,579,Christian Klarkner,Västerås MK,Sherco,22:48.1  23:05.9  23:26.4  ,3,09:20.5
,,136,Motion 40-49,951,Jonas Eriksson,Mariestads EK,Beta,22:26.5  23:05.5  23:55.0  ,3,09:27.1
,,137,Motion 40-49,963,Ronny Larsen,Flittig Enduro,Husqvarna,23:07.1  23:08.2  23:12.7  ,3,09:28.2
,,138,Motion -39,703,Martin Johansson,Skara MK,KTM,22:36.0  23:49.1  23:12.4  ,3,09:37.6
,,139,Ungdom E1,145,Wilmer Jansson,Tidaholms MK,KTM,22:12.7  22:12.0  25:29.5  ,3,09:54.3
,,140,Motion -39,598,Aron Goes,Kortedala MK,Aprilia,22:46.0  24:03.4  23:11.4  ,3,10:00.8
,,141,Motion -39,534,Richard Mickelsson,Tibro MK,,23:20.1  23:01.1  23:44.2  ,3,10:05.5
,,142,Ungdom E1,199,William Blom,Skene MS,Yamaha,22:30.0  23:44.5  24:35.2  ,3,10:49.8
,,143,Motion -39,601,Joel Björkman,SMK Kolmården,KTM,21:55.1  21:42.0  28:00.2  ,3,11:37.4
,,144,Motion -39,564,Göran Göransson,Björkö EK,KTM,22:01.7  21:57.6  27:50.8  ,3,11:50.2
,,145,Motion -39,769,Nils Jadermark,Karlskoga MF,Husqvarna,24:04.9  23:48.7  24:35.4  ,3,12:29.0
,,146,Motion 40-49,1017,Henrik Hermansson,SMK Vadstena,Beta,23:47.4  23:50.0  24:54.6  ,3,12:32.1
,,147,Motion 40-49,980,Niclas Sjökvist,FMCK Borås,KTM,23:44.0  24:27.2  24:36.1  ,3,12:47.5
,,148,Motion -39,614,Henrik Stråhle,Ma Lerum,KTM,23:36.3  24:20.0  25:08.9  ,3,13:05.4
,,149,Motion 40-49,974,Ulric Karlsson,Tidaholms MK,Husqvarna,23:24.3  24:55.6  24:52.3  ,3,13:12.2
,,150,Motion -39,594,Anton Torgin,Donkelo RK,Honda,24:20.0  24:17.9  25:14.0  ,3,13:52.0
,,151,Motion 40-49,1016,Marcus Alsing,SMC,KTM,24:39.3  24:25.6  24:58.1  ,3,14:03.1
,,152,Motion 40-49,998,Karl Henrik Johan Wass,Götene MK,KTM,24:35.5  24:08.8  26:54.5  ,3,15:38.9
,,153,Motion 40-49,999,Johan Törnqvist,FMCK Skövde,KTM,24:25.2  26:10.3  25:05.4  ,3,15:41.0
,,154,Motion 40-49,914,Emil Kårlin,Lilla Edets MCK,Husqvarna,23:55.3  25:28.8  26:20.4  ,3,15:44.5
,,155,Motion -39,626,Jonathon Edwards,BMK Uddevalla,Yamaha,24:22.6  26:37.6  25:40.2  ,3,16:40.5
,,156,Ungdom E1,124,Sam Aronsson,Töreboda MK,KTM,25:08.4  25:46.7  25:55.7  ,3,16:51.0
